Abstime(sec),yyyy-mm-ddTHH:MM:SS.sss,x(m),y(m),z(m),xdot(m/s),ydot(m/s),zdot(m/s),phi(deg.),psi(deg.),theta(deg.),phidot(deg./sec),psidot(deg./sec),thetadot(deg./sec),roll(deg.),pitch(deg.),yaw(deg.)
1619278384.993000,2021-04-24T15:33:04.993,-24486.427055,151815.248883,-1841284.561572,-98.601157,-1620.265502,-126.256408,8.487339486074,23.032389767884,356.316270129479,0.000152000000,0.000000000000,0.000000000000,-25.995012,-0.188328,-0.090735
1619278385.493000,2021-04-24T15:33:05.493,-24535.321834,151005.168038,-1841347.511045,-98.591378,-1620.324355,-125.541257,8.487415675240,23.032389718273,356.316270188837,0.000152000000,0.000000000000,0.000000000000,-25.995028,-0.188375,-0.090844
1619278385.993000,2021-04-24T15:33:05.993,-24584.213874,150195.057969,-1841410.102907,-98.581581,-1620.382898,-124.826075,8.487491864409,23.032389668652,356.316270248516,0.000152000000,0.000000000000,0.000000000000,-25.995043,-0.188418,-0.090941
1619278386.493000,2021-04-24T15:33:06.493,-24633.103165,149384.918832,-1841472.337146,-98.571765,-1620.441132,-124.110865,8.487568053583,23.032389619021,356.316270308492,0.000152000000,0.000000000000,0.000000000000,-25.995057,-0.188455,-0.091027
1619278386.993000,2021-04-24T15:33:06.993,-24681.989697,148574.750782,-1841534.213749,-98.561930,-1620.499057,-123.395625,8.487644242759,23.032389569383,356.316270368742,0.000152000000,0.000000000000,0.000000000000,-25.995069,-0.188489,-0.091104
1619278387.493000,2021-04-24T15:33:07.493,-24730.873462,147764.553974,-1841595.732706,-98.552077,-1620.556671,-122.680357,8.487720431939,23.032389519736,356.316270429245,0.000152000000,0.000000000000,0.000000000000,-25.995081,-0.188518,-0.091172
1619278387.993000,2021-04-24T15:33:07.993,-24779.754450,146954.328564,-1841656.894003,-98.542206,-1620.613975,-121.965060,8.487796621121,23.032389470082,356.316270489981,0.000152000000,0.000000000000,0.000000000000,-25.995092,-0.188545,-0.091232
1619278388.493000,2021-04-24T15:33:08.493,-24828.632652,146144.074708,-1841717.697630,-98.532315,-1620.670969,-121.249735,8.487872810306,23.032389420421,356.316270550929,0.000152000000,0.000000000000,0.000000000000,-25.995102,-0.188568,-0.091285
1619278388.993000,2021-04-24T15:33:08.993,-24877.508058,145333.792561,-1841778.143573,-98.522407,-1620.727651,-120.534381,8.487948999494,23.032389370755,356.316270612072,0.000152000000,0.000000000000,0.000000000000,-25.995111,-0.188588,-0.091330
1619278389.493000,2021-04-24T15:33:09.493,-24926.380660,144523.482279,-1841838.231821,-98.512479,-1620.784023,-119.819000,8.488025188684,23.032389321082,356.316270673393,0.000152000000,0.000000000000,0.000000000000,-25.995119,-0.188605,-0.091369
1619278389.993000,2021-04-24T15:33:09.993,-24975.250447,143713.144020,-1841897.962361,-98.502533,-1620.840082,-119.103592,8.488101377876,23.032389271405,356.316270734874,0.000152000000,0.000000000000,0.000000000000,-25.995127,-0.188620,-0.091402
1619278390.493000,2021-04-24T15:33:10.493,-25024.117410,142902.777937,-1841957.335182,-98.492568,-1620.895830,-118.388155,8.488177567069,23.032389221723,356.316270796501,0.000152000000,0.000000000000,0.000000000000,-25.995134,-0.188633,-0.091430
1619278390.993000,2021-04-24T15:33:10.993,-25072.981541,142092.384189,-1842016.350271,-98.482584,-1620.951266,-117.672692,8.488253756265,23.032389172036,356.316270858260,0.000152000000,0.000000000000,0.000000000000,-25.995141,-0.188644,-0.091452
1619278391.493000,2021-04-24T15:33:11.493,-25121.842829,141281.962930,-1842075.007616,-98.472582,-1621.006390,-116.957201,8.488329945462,23.032389122346,356.316270920135,0.000152000000,0.000000000000,0.000000000000,-25.995147,-0.188653,-0.091471
1619278391.993000,2021-04-24T15:33:11.993,-25170.701266,140471.514318,-1842133.307204,-98.462561,-1621.061201,-116.241684,8.488406134660,23.032389072652,356.316270982116,0.000152000000,0.000000000000,0.000000000000,-25.995153,-0.188660,-0.091485
1619278392.493000,2021-04-24T15:33:12.493,-25219.556842,139661.038509,-1842191.249024,-98.452522,-1621.115700,-115.526140,8.488482323860,23.032389022956,356.316271044189,0.000152000000,0.000000000000,0.000000000000,-25.995159,-0.188667,-0.091496
1619278392.993000,2021-04-24T15:33:12.993,-25268.409548,138850.535659,-1842248.833062,-98.442463,-1621.169886,-114.810569,8.488558513061,23.032388973256,356.316271106343,0.000152000000,0.000000000000,0.000000000000,-25.995165,-0.188672,-0.091504
1619278393.493000,2021-04-24T15:33:13.493,-25317.259374,138040.005924,-1842306.059308,-98.432386,-1621.223759,-114.094973,8.488634702262,23.032388923554,356.316271168567,0.000152000000,0.000000000000,0.000000000000,-25.995170,-0.188676,-0.091509
1619278393.993000,2021-04-24T15:33:13.993,-25366.106311,137229.449463,-1842362.927748,-98.422291,-1621.277318,-113.379350,8.488710891465,23.032388873850,356.316271230853,0.000152000000,0.000000000000,0.000000000000,-25.995175,-0.188679,-0.091512
1619278394.493000,2021-04-24T15:33:14.493,-25414.950350,136418.866430,-1842419.438370,-98.412176,-1621.330564,-112.663701,8.488787080668,23.032388824144,356.316271293190,0.000152000000,0.000000000000,0.000000000000,-25.995180,-0.188681,-0.091512
1619278394.993000,2021-04-24T15:33:14.993,-25463.791481,135608.256983,-1842475.591162,-98.402043,-1621.383497,-111.948026,8.488863269873,23.032388774437,356.316271355571,0.000152000000,0.000000000000,0.000000000000,-25.995185,-0.188683,-0.091511
